"","full_E_GR_E_GS","e_ids","mm_pred","GT","GT_labs","MM_labs"
"1130","dppD","b3541",0.876997214,0.823,1,1
"1131","dppF","b3540",0.876997214,0.742,1,1
"1132","dctA","b3528",0.876997214,0.746,1,1
"1133","kdgK","b3526",0.876997214,0.765,1,1
"1134","yhjH","b3525",0.876997214,0.775,1,1
"1135","treF","b3519",0.876997214,0.73,1,1
"1136","gadA","b3517",0.876997214,0.761,1,1
"1137","arsC","b3503",0.876997214,0.802,1,1
"1138","arsB","b3502",0.876997214,0.794,1,1
"1139","gor","b3500",0.876997214,0.423,1,1
"1140","pitA","b3493",0.876997214,0.753,1,1
"1141","yhiJ","b3488",0.876997214,0.796,1,1
"1142","nikE","b3480",0.876997214,0.633,1,1
"1143","nikD","b3479",0.876997214,0.751,1,1
"1144","nikC","b3478",0.876997214,0.794,1,1
"1145","nikB","b3477",0.876997214,0.794,1,1
"1146","nikA","b3476",0.876997214,0.712,1,1
"1147","acpT","b3475",0.876997214,0.777,1,1
"1148","zntA","b3469",0.876997214,0.783,1,1
"1149","livJ","b3460",0.876997214,0.846,1,1
"1150","livK","b3458",0.876997214,0.778,1,1
"1151","livH","b3457",0.876997214,0.783,1,1
"1152","livM","b3456",0.876997214,0.75,1,1
"1153","livG","b3455",0.876997214,0.745,1,1
"1154","livF","b3454",0.876997214,0.849,1,1
"1155","ugpB","b3453",0.876997214,0.785,1,1
"1156","ugpA","b3452",0.876997214,0.783,1,1
"1157","ugpE","b3451",0.876997214,0.819,1,1
"1158","ugpC","b3450",0.876997214,0.782,1,1
"1159","ugpQ","b3449",0.876997214,0.858,1,1
"1160","ggt","b3447",0.876997214,0.785,1,1
"1161","gntK","b3437",0.876997214,0.739,1,1
"1162","gntU","b4476",0.876997214,0.884,1,1
"1163","asd","b3433",0,0,0,0
"1164","glgB","b3432",0.876997214,0.746,1,1
"1165","glgX","b3431",0.876997214,0.791,1,1
"1166","glgC","b3430",0.876997214,0.8,1,1
"1167","glgA","b3429",0.876997214,0.779,1,1
"1168","glgP","b3428",0.876997214,0.7,1,1
"1169","glpD","b3426",0.876997214,0.73,1,1
"1170","glpE","b3425",0.876997214,0.765,1,1
"1171","malP","b3417",0.876997214,0.748,1,1
"1172","malQ","b3416",0.876997214,0.816,1,1
"1173","gntT","b3415",0.876997214,0.747,1,1
"1174","bioH","b3412",0,0.839,1,0
"1175","feoB","b3409",0.876997214,0.869,1,1
"1176","pck","b3403",0.876997214,0.722,1,1
"1177","yrfG","b3399",0.876997214,0.549,1,1
"1178","nudE","b3397",0.876997214,0.732,1,1
"1179","mrcA","b3396",0.876997214,0.768,1,1
"1180","aroK","b3390",0.876997214,0.445,1,1
"1181","aroB","b3389",0,0.499,1,0
"1182","rpe","b3386",0.874953498,0.602,1,1
"1183","gph","b3385",0.876997214,0.787,1,1
"1184","frlD","b3374",0.876997214,0.84,1,1
"1185","frlC","b4474",0.876997214,0.722,1,1
"1186","frlB","b3371",0.876997214,0.813,1,1
"1187","frlA","b3370",0.876997214,0.717,1,1
"1188","cysG","b3368",0,0.738,1,0
"1189","nirC","b3367",0.876997214,0.789,1,1
"1190","nirD","b3366",0.876997214,0.811,1,1
"1191","nirB","b3365",0.876997214,0.819,1,1
"1192","pabA","b3360",0,0.816,1,0
"1193","argD","b3359",0.876997214,0.783,1,1
"1194","kefB","b3350",0.876997214,0.787,1,1
"1195","bfr","b3336",0.876997214,0.75,1,1
"1196","mscL","b3291",0.876997214,0.785,1,1
"1197","trkA","b3290",0.876997214,0.505,1,1
"1198","aroE","b3281",0.876997214,0.564,1,1
"1199","metA","b4013",0,0.76,1,0
"1200","aceB","b4014",0.876997214,0.843,1,1
"1201","aceA","b4015",0.876997214,0.824,1,1
"1202","metH","b4019",0.876997214,0.719,1,1
"1203","yjbB","b4020",0.876997214,0.808,1,1
"1204","lysC","b4024",0.876997214,0.728,1,1
"1205","pgi","b4025",0.869695658,0.639,1,1
"1206","xylE","b4031",0.876997214,0.698,1,1
"1207","malG","b4032",0.876997214,0.677,1,1
"1208","malF","b4033",0.876997214,0.64,1,1
"1209","malE","b4034",0.876997214,0.662,1,1
"1210","malK","b4035",0.876997214,0.658,1,1
"1211","lamB","b4036",0.876997214,0.804,1,1
"1212","ubiC","b4039",0.876997214,0.771,1,1
"1213","ubiA","b4040",0,0,0,0
"1214","plsB","b4041",0.876997214,0,0,1
"1215","dgkA","b4042",0.876997214,0.847,1,1
"1216","alr","b4053",0.876997214,0.859,1,1
"1217","tyrB","b4054",0.876997214,0.777,1,1
"1218","aphA","b4055",0.876997214,0.774,1,1
"1219","actP","b4067",0.876997214,0.768,1,1
"1220","acs","b4069",0.876997214,0.824,1,1
"1221","nrfA","b4070",0.876997214,0.805,1,1
"1222","nrfB","b4071",0.876997214,0.794,1,1
"1223","nrfC","b4072",0.876997214,0.796,1,1
"1224","nrfD","b4073",0.876997214,0.814,1,1
"1225","gltP","b4077",0.876997214,0.606,1,1
"1226","fdhF","b4079",0.876997214,0.678,1,1
"1227","alsK","b4084",0.876997214,0,0,1
"1228","alsE","b4085",0.876997214,0.768,1,1
"1229","alsC","b4086",0.876997214,0.628,1,1
"1230","alsA","b4087",0.876997214,0.724,1,1
"1231","alsB","b4088",0.876997214,0.626,1,1
"1232","rpiB","b4090",0.876997214,0.926,1,1
"1233","phnP","b4092",0.876997214,0.812,1,1
"1234","phnO","b4093",0.876997214,0.816,1,1
"1235","phnN","b4094",0.876997214,0.76,1,1
"1236","phnM","b4095",0.876997214,0.716,1,1
"1237","phnL","b4096",0.876997214,0.792,1,1
"1238","phnJ","b4098",0.876997214,0.831,1,1
"1239","phnI","b4099",0.876997214,0.809,1,1
"1240","phnH","b4100",0.876997214,0.787,1,1
"1241","phnG","b4101",0.876997214,0.782,1,1
"1242","phnD","b4105",0.876997214,0.602,1,1
"1243","phnC","b4106",0.876997214,0.73,1,1
"1244","proP","b4111",0.876997214,0.756,1,1
"1245","adiC","b4115",0.876997214,0.801,1,1
"1246","adiA","b4117",0.876997214,0.717,1,1
"1247","melA","b4119",0.876997214,0.572,1,1
"1248","melB","b4120",0.876997214,0.888,1,1
"1249","fumB","b4122",0.876997214,0.86,1,1
"1250","dcuB","b4123",0.876997214,0.705,1,1
"1251","lysU","b4129",0.876997214,0.771,1,1
"1252","cadA","b4131",0.876997214,0.766,1,1
"1253","cadB","b4132",0.876997214,0.646,1,1
"1254","dcuA","b4138",0.876997214,0.647,1,1
"1255","aspA","b4139",0.876997214,0.36,1,1
"1256","yjeH","b4141",0.876997214,0.45,1,1
"1257","frdD","b4151",0.876997214,0.752,1,1
"1258","frdC","b4152",0.876997214,0.849,1,1
"1259","frdB","b4153",0.876997214,0.365,1,1
"1260","frdA","b4154",0.876997214,0.8,1,1
"1261","psd","b4160",0,0,0,0
"1262","rsgA","b4161",0.876997214,0.637,1,1
"1263","amiB","b4169",0.876997214,0.799,1,1
"1264","hflX","b4173",0.876997214,0.8,1,1
"1265","purA","b4177",3.63e-13,0.242,1,1
"1266","ulaG","b4192",0.876997214,0.762,1,1
"1267","ulaA","b4193",0.876997214,0.709,1,1
"1268","ulaB","b4194",0.876997214,0.71,1,1
"1269","ulaC","b4195",0.876997214,0.736,1,1
"1270","ulaD","b4196",0.876997214,0.582,1,1
"1271","ulaE","b4197",0.876997214,0.637,1,1
"1272","ulaF","b4198",0.876997214,0.493,1,1
"1273","cycA","b4208",0.876481862,0.702,1,1
"1274","ytfE","b4209",0.876977896,0.655,1,1
"1275","cpdB","b4213",0.876997214,0.801,1,1
"1276","cysQ","b4214",0,0.678,1,0
"1277","msrA","b4219",0.876997214,0.741,1,1
"1278","ppa","b4226",0.876997214,0,0,1
"1279","ytfQ","b4227",0.876997214,0.649,1,1
"1280","ytfR","b4485",0.876997214,0.761,1,1
"1281","ytfT","b4230",0.876997214,0.946,1,1
"1282","yjfF","b4231",0.876997214,0.887,1,1
"1283","fbp","b4232",0.876997214,0.313,1,1
"1284","mpl","b4233",0.876997214,0.75,1,1
"1285","nrdG","b4237",0.876997214,0.778,1,1
"1286","nrdD","b4238",0.876909498,0.824,1,1
"1287","treC","b4239",0.876997214,0.433,1,1
"1288","treB","b4240",0.876997214,0.705,1,1
"1289","mgtA","b4242",0.876997214,0.729,1,1
"1290","pyrI","b4244",0.876997214,0.795,1,1
"1291","pyrB","b4245",0,0.442,1,0
"1292","argI","b4254",0.876997214,0.765,1,1
"1293","pepA","b4260",0.876997214,0.647,1,1
"1294","idnT","b4265",0.876997214,0.499,1,1
"1295","idnO","b4266",0.876997214,0.631,1,1
"1296","idnD","b4267",0.876997214,0.59,1,1
"1297","idnK","b4268",0.876997214,0.775,1,1
"1298","fecE","b4287",0.876997214,0.805,1,1
"1299","fecD","b4288",0.876997214,0.83,1,1
"1300","fecC","b4289",0.876997214,0.889,1,1
"1301","fecB","b4290",0.876997214,0.749,1,1
"1302","fecA","b4291",0.876997214,0.71,1,1
"1303","yjhG","b4297",0.876997214,0.688,1,1
"1304","yjhH","b4298",0.876997214,0.764,1,1
"1305","gntP","b4321",0.876997214,0.661,1,1
"1306","uxuA","b4322",0.876997214,0.657,1,1
"1307","uxuB","b4323",0.876997214,0.698,1,1
"1308","yjiA","b4352",0.876997214,0.727,1,1
"1309","fhuF","b4367",0.876997214,0.762,1,1
"1310","yjjG","b4374",0.876997214,0.832,1,1
"1311","deoC","b4381",0.876997214,0.748,1,1
"1312","deoA","b4382",0.876997214,0.82,1,1
"1313","deoB","b4383",0.876994994,0.789,1,1
"1314","deoD","b4384",0.876994994,0.784,1,1
"1315","lplA","b4386",0.876997214,0.781,1,1
"1316","serB","b4388",0.859390785,0.755,1,1
"1317","nadR","b4390",0.876997214,0.723,1,1
"1318","slt","b4392",0.876997214,0.7,1,1
"1319","yjjX","b4394",0.876997214,0.689,1,1
"1320","dcuC","b0621",0.876997214,0.773,1,1
"1321","gatA","b2094",0.876997214,0.88,1,1
"1322","tnaB","b3709",0.876997214,0.566,1,1
"1323","phnE","b4104",0.876997214,0.731,1,1
